cytoband	8q24.3	4p16.3	1q42.13	2q24.1	3q29	4p11	6p21.33	16q22.3	17q25.3	19p13.3	20q13.33	1p36.32	2p24.3	15q21.1	11p15.5	14q11.2	5q35.3
q value	0.062316	0.079247	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.12165	0.12165	0.13642	0.15638	0.17002	0.20685
residual q value	0.062316	0.10434	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.11832	0.12165	0.12165	0.13642	0.15638	0.17002	0.20685
wide peak boundaries	chr8:145297501-145782499	chr4:1727501-1817499	chr1:228732501-228797499	chr2:157162501-157222499	chr3:197047501-197487499	chr4:49092501-49157499	chr6:31562501-31657499	chr16:74027501-74107499	chr17:78907501-80717499	chr19:267501-7312499	chr20:62562501-62622499	chr1:2572501-2622499	chr2:16062501-16157499	chr15:45392501-45492499	chr11:757501-917499	chr14:22892501-22972499	chr5:176742501-176952499
genes in wide peak	hsa-mir-1234	FGFR3	RHOU	NR4A2	hsa-mir-922	[CWH43]	AIF1	[PSMD7]	hsa-mir-3186	hsa-mir-220b	hsa-mir-647	TTC34	MYCN	DUOX2	CD151	[DAD1]	DBN1
	hsa-mir-939	LETM1	DUSP5P		BDH1		CSNK2B		hsa-mir-1250	hsa-mir-7-3	PRPF6		MYCNOS	DUOX1	POLR2L		F12
	GPT	TACC3			KIAA0226		PRRC2A		ACTG1	hsa-mir-637	UCKL1			SHF	RPLP2		GRK6
	HSF1				FYTTD1		BAG6		ARHGDIA	hsa-mir-4321	ZNF512B			DUOXA1	TALDO1		SLC34A1
	TONSL				LOC220729		GPANK1		CD7	hsa-mir-1909	DNAJC5			DUOXA2	TSPAN4		PDLIM7
	DGAT1				MIR922		ABHD16A		CSNK1D	hsa-mir-3187	SAMD10				CEND1		RGS14
	FOXH1						APOM		SLC25A10	AES	MIR647				PIDD		LMAN2
	RECQL4						C6orf47		FASN	AMH	UCKL1-AS1				PNPLA2		DDX41
	LRRC14						LY6G5B		GCGR	ATP5D	MIR1914				CHID1		FAM193B
	BOP1						LY6G5C		UTS2R	AZU1					SLC25A22		DOK3
