#SampleID,Chr,Position,Strand,JR_count,Gene,Comments
43T,chr3,196625719,-,5,SENP5,NM_152699:Intron2
71T,chr3,196625744,+,2,SENP5,NM_152699:Intron2
177T,chr3,196625755,+,6,SENP5,NM_152699:Intron2
26T,chr18,18525666,+,3,ROCK1,BC041849:Promoter;manually
203T,chr18,18531713,-,5,ROCK1,BC041849:Intron1;manually
116T,chr19,36212723,+,17,MLL4,NM_014727:Intron3
159T,chr19,36212764,+,4,MLL4,NM_014727:Intron3
71T,chr19,36213015,+,2,MLL4,NM_014727:Intron3
49T,chr19,36212740,+,7,MLL4,NM_014727:Intron3
116T,chr19,36212737,+,7,MLL4,NM_014727:Intron3
62T,chr19,36212821,+,2,MLL4,NM_014727:Intron3
159T,chr19,36212793,+,5,MLL4,NM_014727:Intron3
62T,chr19,36212826,+,7,MLL4,NM_014727:Intron3
53T,chr19,36212892,+,2,MLL4,NM_014727:Intron3
186T,chr19,36214006,-,10,MLL4,NM_014727:Exon6
186T,chr19,36214011,-,23,MLL4,NM_014727:Exon6
71T,chr19,36213273,+,2,MLL4,NM_014727:Exon4
70T,chr19,36212312,+,8,MLL4,NM_014727:Exon3
70T,chr19,36212331,+,28,MLL4,NM_014727:Exon3
95T,chr19,36212565,+,3,MLL4,NM_014727:Exon3
95T,chr19,36212602,+,4,MLL4,NM_014727:Exon3
13T,chr5,1285509,-,5,hTERT,BC062321:Promoter
13T,chr5,1285517,-,4,hTERT,BC062321:Promoter
198T,chr5,1269360,-,15,hTERT,BC062321:Intron4
198T,chr5,1269405,-,12,hTERT,BC062321:Intron4
73T,chr5,1295167,-,4,hTERT,AB086950:Promoter
22T,chr5,1295217,-,2,hTERT,AB086950:Promoter
46T,chr5,1295365,-,2,hTERT,AB086950:Promoter
266T,chr5,1295382,-,2,hTERT,AB086950:Promoter
38T,chr5,1295723,-,3,hTERT,AB086950:Promoter
46T,chr5,1295367,+,15,hTERT,AB086950:Promoter
81T,chr5,1295518,-,2,hTERT,AB086950:Promoter
58T,chr5,1295400,-,2,hTERT,AB086950:Promoter
266T,chr5,1295496,-,6,hTERT,AB086950:Promoter
14T,chr5,1295187,-,2,hTERT,AB086950:Promoter
261T,chr5,1295683,-,4,hTERT,AB086950:Promoter
92T,chr5,1295607,-,7,hTERT,AB086950:Promoter
60T,chr5,1295605,+,3,hTERT,AB086950:Promoter
261T,chr5,1295891,-,9,hTERT,AB086950:Promoter
63T,chr5,1296259,-,16,hTERT,AB086950:Promoter
34T,chr5,1297651,-,17,hTERT,AB086950:Promoter
34T,chr5,1297639,-,2,hTERT,AB086950:Promoter
65T,chr5,1298957,-,11,hTERT,AB086950:Promoter
64T,chr5,1299589,+,5,hTERT,AB086950:Promoter
64T,chr5,1299592,+,5,hTERT,AB086950:Promoter
268T,chr5,1292392,+,8,hTERT,AB086950:Intron2
268T,chr5,1292403,+,9,hTERT,AB086950:Intron2
126T,chr5,1295112,+,4,hTERT,AB086950:Exon1
22T,chr5,1295121,-,2,hTERT,AB086950:Exon1
117N,chr2,216294353,-,2,FN1,NM_212482:Intron5
126N,chr2,216297478,-,2,FN1,NM_212482:Intron3
182N,chr2,216298193,-,2,FN1,NM_212482:Intron2
180N,chr2,216280307,-,7,FN1,NM_212482:Intron12
95N,chr2,216299706,-,2,FN1,NM_212482:Intron1
268T,chr19,30298787,-,65,CCNE1,NM_001238:Promoter
106T,chr19,30304177,+,4,CCNE1,NM_001238:Intron4
145T,chr19,30303494,+,7,CCNE1,NM_001238:Intron2
145T,chr19,30303498,+,10,CCNE1,NM_001238:Intron2
200T,chr19,30315004,+,12,CCNE1,NM_001238:Exon12
